SESSION,hyena_count,lion_count,note_quality,food_present,session_error_notes,notes,entry_complete,who_checked,date_checked,entered_by,entry_date,who_starts_with_food,who_ends_with_food,do_hyenas_eat,no_intx_yes_no
t14802.1,1,1,3,FALSE,"This lion is referred to as a ""lioness,"" so I would change her age from ""unknown"" to ""adult""",GOL wlk downstream 100m - lioness (so). GOL goes oos 3 min later,TRUE,,,JMP,18-Mar-14,,,,TRUE
t14815,3,2,2,TRUE,,"ad topi or gnu k site.""There is a stain on the ground from the rumen contents & one well-chewed lower leg but no other carc parts remain.""Ln/hy distances from k site not given. 2 hys so 150m - lns, 1 hy st/lk 50-100m - ln. 1 hy lv @ end, others & lns so",TRUE,,,JMP,18-Mar-14,none,none,no,TRUE
t14998.1,6,14,2,FALSE,,"No distances from lions given. Almost all hyenas fat, 1 obese & bloody. Most hyenas st/lk, 1 so, 1 (the obese bloody 1) lope arr. Doesn't say what lions are doing. All hyenas wan/snf 15 mins after arr, also when lv. Only mins recorded 0608 and 0623",TRUE,,,JMP,18-Mar-14,,,,TRUE
t15042.2,6,7,3,FALSE,,"Many hyenas fat & bloody. Sub f lion st/lk 20m - hyenas (st/lk, wan/snf, sit/grm). ""…no evidence of any food left.""",TRUE,,,JMP,18-Mar-14,,,,TRUE
t15074.1,3,1,2,TRUE,,"NAV (obese, bloody) fd zebra leg when arr, DYL st/lk 2m - NAV, unIDhyena lurk in bushes. Zebra carcass w/many hyenas ~500m away (session 15074.2)",TRUE,,,JMP,18-Mar-14,hyenas,lions,feed,FALSE
t15089.3,3,,3,TRUE,,"POS bloody. Hyenas so, lions eating zebra carcass 100m - hyenas. Number of lions unk; says ""at least 2"" in predator box because plural (lions) is used",TRUE,,,"JMP

JMP",18-Mar-14,lions,lions,no,TRUE
t15102.2,4,,3,FALSE,,"Hyenas spread out. ""NOTE: lion pride cubs so within 200m [of 2 of the] hyenas."" Number of lion cubs not noted",TRUE,,,JMP,18-Mar-14,,,,TRUE
t15103.1,14,14,3,FALSE,"The two female lions should have their age changed from ""unknown"" to ""adult,"" since they are referred to as ""lionesses"". MALI circled twice in notes (1847 and 1850)","Only 1 lioness here at start. KIP OLY only hyenas present (or at least seen) at start, others arrive. Complete CI sampling ends at 1855",TRUE,,,JMP,18-Mar-14,,,,FALSE
t15106,5,2,2,TRUE,,"When arr, ad m ln fd on fresh ad topi carc. Another m lion lv to SW w/leg. ""we think that these [m lns]stole this [k] frm our [hys], as the [carc] is mostly dismembered and all [hys bloody], not the lions."" BOS also has a leg 250m-carc when arr",TRUE,,,JMP,18-Mar-14,lions,lions,feed,FALSE
t15170,5,1,3,TRUE,"The context for this session should be ""c"" instead of ""m,"" because ""scraps"" are present","Mating scene: SX sexy. Obs follows hyenas, who come upon a young adult male lion at one point. Food not present when lion is; just says at 0711 ""NICK chews scraps."" various combis and FAS on SX and VGS 0733-0806, but not relevant to lion/hyena intx's",TRUE,,,JMP,18-Mar-14,hyenas,hyenas,scraps,FALSE
t1525.3,3,1,1,FALSE,BSH is BRSH in notes.,hyeans so and lioness is present in session. No other information about intx.,TRUE,,,SSM,07-Jul-14,,,,TRUE
t15257.4,1,1,2,FALSE,,"Identity of kill not given. Session is only 1 recorded minute and kill is not mentioned at all really. ""Adult male lion near kill site was chasing JOM…""",TRUE,,,JMP,18-Mar-14,,,,FALSE
t1529.1,8,2,1,FALSE,lions are adults. 0640-0655 is start and end time.,"hyenas are nursing Lions are present in session. No intx. Not much info. HK,MD, TQ, WK are not named but they are cubs and mothers are nursing.",TRUE,,,SSM,07-Jul-14,,,,TRUE
t15304.2,5,1,3,FALSE,,Fisi loping S. 1 hyena (arr from E) is fat,TRUE,,,JMP,18-Mar-14,,,,FALSE
t15357,19,8,3,TRUE,"Predator list: ""1 adult female lion"" + ""7 lg subadult and adult female lions""","adult gnu kill. When arr, 7 lg sub and ad female lions fding carcass, none of them bloody. Many hyenas & 1 ad female lion 100m - kill. By this lion away from the kill, many hyenas ~15-50m away, wan/snf st/lk so wlk. 2 hys fat, 1 obese, 1 slightly bloody",TRUE,,,JMP,18-Mar-14,lions,lions,scraps,FALSE
t15382,4,2,3,TRUE,,"lions sitting by an adult gnu carc when first seen at 0631, 75m - hyenas",TRUE,,,JMP,19-Mar-14,lions,lions,no,TRUE
t15398.4,1,5,2,FALSE,,"Track STG wlk oos into bushes. ""Note: there are 5 lions so here."" No distance from lions given, no age/sex for them given",TRUE,,,JMP,19-Mar-14,,,,TRUE
t15465,29,6,1,TRUE,"There should really only be 14 unIDhyenas, since he observers included ""OLA1"" in the alien count that totaled 15 (he is put in w/ID hyenas as he is seen interacting, is differentiated, and shows up in later sessions). Also, the lions' age should be subad","many hys fat/obese, bldy. Ad m giraffe carc. Hyenas not fd when arr, but obs says ""this carc has been fed upon by hyenas (all fat and bloody) but now 6 young adult male lions…have possession and feed.""15 alien hys here, ""[prob] Olosogon clan"". In CI's",TRUE,,,JMP,19-Mar-14,lions,lions,no,FALSE
t15467.1,22,6,1,TRUE,"Since the lions are referred to as ""young adults,"" their age should be changed to subadult","at same ad m giraffe carc from sess 15465. when arr, ""no one feeds but 6 [m lns] still in area."" Must be same 6 from 15465. No distance from carc/hys given, but sms lns hv poss. Many hy fat/obese. In CI's:""these [hys] are still 1-200m from carc in bushes""",TRUE,,,JMP,19-Mar-14,lions,lions,no,FALSE
t15488,17,8,2,TRUE,"The male lions' age should be changed to subadult. Scraps are very present, so the context should not be ""o"" (I would say ""c""). HOB circled twice in the notes (0605 & 0623).","Arr, ""6 young adult male lions here with/chase hyenas, hyenas whoop and brt"" (see events). 2 hys fat. Food present = scraps, an old piece of gnu skin, gnu ribs, and old bones the hys fd on/squabble over (also see 649 evnt 4 posibl food relevance to lion)",TRUE,,,JMP,19-Mar-14,hyenas,hyenas,scraps,FALSE
t15491.1,2,5,3,FALSE,"The term ""lionesses"" is used to describe the lions, so their age should be changed to ""adult""",Track BERN (fat) wan/snf. PAR wan/snf wlk E. 5 lionesses lv these bushes and wlk NW (no simba distance from fisi given),TRUE,,,JMP,19-Mar-14,,,,TRUE
t15668,19,2,3,TRUE,There are only 2 subadult male lions present this session,"ad gnu carc. Note @ top: ""our [hys] are [v bldy], but a bit [L8r] we see 2 young [m lns fding] on carc [in bshs]...""Many hys ft and/or bldy. In CI's (bushes). Scraps hys fd on=chew on old gnu carc (prob just bones) at 0646. combies arr at 0723 & obs lv",TRUE,,,JMP,20-Mar-14,lions,lions,scraps,FALSE
t15675,5,,3,FALSE,BP circled twice in notes (1804 & 1809),"At start, ""at least 1 male lion"" so. Hyenas get w/in 50m. All fisi so at end, no final distance from lion(s) given",TRUE,,,JMP,20-Mar-14,,,,TRUE
t15682,12,,3,FALSE,"at least one of these lions is a male, no age given (see sess 15675)","same lions as in sess 15675 (later same evening; since plural used here, were prob >1 lion in 15675 too). Lions so 20-150m - hyenas, who are so except GONZ (wlk N) & NICK (wan/snf)",TRUE,,,JMP,20-Mar-14,,,,TRUE
t1569.3,16,9,2,TRUE,,FAS on Q 0658-1028.  hyena bloody. Buffalo kill at ost. Knoll. Hyenas get lung and small scraps. Many alien hyenas present.,TRUE,,,SSM,07-Jul-14,lions,lions,scraps,FALSE
t15703,7,3,3,TRUE,"WHO and HEM should be included in IDs present (see note b/w 0726 and 0727), making the N ID Hyenas 7","ad gnu carc. 2 hys fat, 1 bloody, 2 fat/obese & bloody. Only 5 hys by carc, 2 seen wlk further away. Lioness w/2 little cubs so ~50m downstream - feeding hyenas",TRUE,,,JMP,20-Mar-14,hyenas,hyenas,feed,TRUE
t15756,18,1,3,TRUE,,"in CI's @ least @ st (IDing) due to #fisi. ""site of [ad gnu k] (and subad gnu carc)""…2 carcasses, seems are by/very near one another. Young adult m lion so 50m - k when arr, no more said about him. 3 hys bldy, 2 obese, 1 obese & bldy. Baiting 0659-0706",TRUE,,,JMP,20-Mar-14,hyenas,hyenas,feed,TRUE
t15766,22,2,3,TRUE,"OKE and LG should both be included in IDs present, and therefore the N ID Hyenas should be 22","""2 [ad m lns hv] apparently stolen an [ad] gnu carc from [hys],"" although no hys noted as bloody (mybe due to it just getting light?), & only 2 fat. No dis from carc/lns given. Likely In CI's(?)due to #hys. Several indiv whoops, only rec when >1 same min",TRUE,,,JMP,20-Mar-14,lions,lions,no,TRUE
t1578.1,5,9,1,FALSE,OT not PT present. VD is vdot in notes.,@1738 9 lions arr from NE don’t know age/sex/number of each. Not other inforamtion. No intx.,TRUE,,,SSM,07-Jul-14,,,,TRUE
t15821,2,5,3,FALSE,"The start time for this session should read 6:52, and the end time should be 6:57. 1 of the lions is an adult female (the one who chases KIP at 0653 is referred to as a ""lioness"")","When arr, WHO (fat) st/lk 20m - lioness (so), and KIP (also fat) st/lk 40m - same lioness (so). ""at least 4 more lions"" 100m - hyenas. Num lions = minimum",TRUE,,,JMP,20-Mar-14,,,,FALSE
t15881,3,1,3,TRUE,"The end time for this session should read 6:09.The unIDhyena is referred to as ""alien/FT hyena,"" so it should not be marked as certainly a FT hyena in the unIDhyenas.Maybe more than 1 lion (see 0601, where plural used in location line). The F lion = adult","@Talek gat. Lioness has poss of zeb carc in rivbed. No intial distances from ln given. TZ bldy wan/snf, GONZ st/lk by gate, alien/FT hyena wan/snf in rivbed. Psbly >1 lion, b/c says ""site of lions on [z carc],"" although ""1 [ln] has poss."" Seems only 1 tho",TRUE,,,JMP,20-Mar-14,lions,lions,no,FALSE
t1589,2,1,2,FALSE,MU is MUT in notes.,FAS on MU and RCN 0644-800. lion is bulging possibly eaten in Slp crk. No real intx.,TRUE,,,SSM,07-Jul-14,,,,TRUE
t1598,5,1,2,TRUE,,hyena bloody. FAS on INT 1728-1834. freshly killed adult topi. . 10 combies around.,TRUE,,,SSM,07-Jul-14,hyenas,lions,feed,FALSE
t1602.1,14,7,2,TRUE,end time is 1838.,more than 7 lions don’t know age/sex/or number of each. Fas MU 1740-1820. FAS SH 1830-1838.  buffalo carc. One hyena has buffalo leg.,TRUE,,,SSM,07-Jul-14,lions,lions,scraps,TRUE
t1603.1,18,1,2,TRUE,"SHER is SH in notes, MU is MUT in notes",FAS on SHER 0634-0815. notes say male lion is adult but young. Buffalo carcass. Combies here scaring hyenas.,TRUE,,,SSM,08-Jul-14,hyenas,hyenas,feed,FALSE
t1605,19,5,2,TRUE,HOL never IDed without ? So 1 unID also big red muddy male is unID. unID=2. lions are subadult.,"adult topi kill. Hyenas are bloody, obs thinks kill made by hyenas. Lions are all nearly full grown do not know sex. FAS on EN 1632-1820 FAS on INT 1632-1832 FAS on SY 1632-1900 .  combies here scaring hyenas.",TRUE,,,SSM,08-Jul-14,lions,hyenas,feed,FALSE
t1612,1,9,2,TRUE,,adult topi kill. 9 big adults and subadult lions don’t know sex or how many of each. Int rushes a jackal and steals a rib from him then eats it. No intx.,TRUE,,,SSM,08-Jul-14,lions,lions,scraps,TRUE
t1625,6,4,2,FALSE,,1 male and 3 female adult lions so 100m NE of hyenas. No intx,TRUE,,,SSM,08-Jul-14,,,,TRUE
t1627,15,7,2,TRUE,"MU is MUT in notes, ans Quai is Quail in notes.",subadult gnu carcass not much left only head and some skin. Neither lions or hyenas are bloody.  FAS  Q 0607-0705. FAS on MU 0607-0710.  lions are subadult don’t know gender,TRUE,,,SSM,08-Jul-14,lions,hyenas,feed,FALSE
t16309,13,1,3,TRUE,"GOB circled twice in notes (0633 and 0652). Female lion referred to as ""lioness,"" so her age should be changed to ""adult""","Flw 3 fat bloody hys to where are other hys, then eventually flw most to where a lioness fd on head of subad gnu. 4 other hys in session fat-obese",TRUE,,,JMP,20-Mar-14,lions,hyenas,feed,FALSE
t1636.1,1,11,2,TRUE,end time 6:45,adult giraffe kill made by lions. 3 adult females and 8 cubs. No other info given. No intx,TRUE,,,SSM,08-Jul-14,lions,lions,no,TRUE
t1637.1,1,11,2,TRUE,,same lions from 1636.1 probably. So 3 adult females and 8 cubs. =11 lions. Zip is so 50m N of carcass. No intx. Lions fd.,TRUE,,,SSM,08-Jul-14,lions,lions,no,TRUE
t1638,1,,2,TRUE,MU is MUT in notes,"giraffe carcass. 3 adult lionesses,2  big male lions, and babies are presents. So 7 adult lions in session present but don’t know how many babies. @0651 topi chases MU. No real intx.",TRUE,,,SSM,08-Jul-14,lions,lions,no,TRUE
t16391,15,9,2,TRUE,"There should be 3 young adult male lions recorded, 2 which are here at the beginning and wlk - S, and then 1 more is with the 6 lionesses downstream at 0607 (possible one of same, but don't think downstream=south). Term ""lionesses"" is used, so 6 f age=ad","""2 young male lions here at what looks like site of carcass (blood stained ground)."" No distances from lions/carc site given. In CI's. Many hyenas bloody and/or fat/obese",TRUE,,,JMP,20-Mar-14,,hyenas,feed,FALSE
t16441,1,1,3,FALSE,,"Track BAIL (fat) wlk N oos into SRL, ""young male lion so here."" no distance from BAIL given. Only 1 min recorded",TRUE,,,JMP,20-Mar-14,,,,TRUE
t1651.2,1,1,2,TRUE,,"adult gnu kill sher is lving as obs arr. Bloody face, very fat. Deep in fig tree range",TRUE,,,SSM,08-Jul-14,hyenas,none,feed,FALSE
t16522,3,,3,TRUE,,"3 hyenas (2 st/lk, 1 fd scrap) 150m - lions. ""Note: 150m NE are lions feeding on gnu carcass."" No number of lions given. Combies arr 1811 and at least 2 fisi go oos. Only recorded mins = 1810-11.",TRUE,,,JMP,20-Mar-14,lions,lions,scraps,TRUE
t1654.8,1,4,1,FALSE,,boradcast? 1 unID adult hyena 500m away from 1 adult male lion and 3 adult lionesses. Do not respond to broadcast. No intx.,TRUE,,,SSM,08-Jul-14,,,,TRUE
t1659,1,1,2,TRUE,lioness is adult.,FAS SY 0705-0721. SY finds something on grnd and eats it. Don’t know distances but probably not clsoe so no intx.,TRUE,,,SSM,08-Jul-14,hyenas,hyenas,scraps,TRUE
t16676,10,3,3,TRUE,"SX should be included in IDs present, making the N ID Hyenas 10","3 young ad male lions fd on adult gnu carc when arr, no distance from hys given. 3 hys fat, 1 bloody",TRUE,,,JMP,20-Mar-14,lions,lions,feed,FALSE
t167,14,4,3,FALSE,"67sm is 67smaller, BRAD is bradford, BSH is BS nad CSL- is C-SL in notes.",4 female lions N of Den 1 creek. No intx.,TRUE,,,SSM,11-Jun-14,,,,TRUE
t1672,3,5,2,TRUE,COWB is cowboy in notes.,adult gnu carcass. 4 adult male lions and 1 lioness eat. No intx. Only pasting.,TRUE,,,SSM,08-Jul-14,lions,lions,no,TRUE
t16794,2,2,3,FALSE,"These lions should have their age changed from ""unknown"" to ""adult,"" since they are referred to as ""lionesses""","@150m SE - Hat T track GOB wlk oos bushes, MIG emerge bushes wlk SE. ""Note: 2 lionesses 100m W - Hat T""",TRUE,,,JMP,20-Mar-14,,,,TRUE
t16814,4,3,3,FALSE,,"3 young male lions wlk - E, POS lope SW twd lions w/TZ & SIM flw",TRUE,,,JMP,20-Mar-14,,,,TRUE
t16815,9,1,3,TRUE,,"big male lion fd gnu carc, hyenas so ~35-100m - carc. Several hyenas fat and/or bloody. Hyenas mostly just wan a bit and then so watch lion eat (now 35-150m away), so obs lv. ""Feed"" comes from TDUM carrying sm gnu leg ~200m away from this scene",TRUE,,,JMP,20-Mar-14,lions,lions,feed,TRUE
t16847,22,7,1,FALSE,"In predator box says ""hyenas follow lions too,"" but this is never specified. We only know that the lions followed the hyenas at one point. KIP circled twice in notes (0755 & 0810)","bushes, low vis. Lions following hyenas when arr (see 0755 event). 3 hyenas fat. Hyenas get w/in 20m of lions at 0822 (closest specified distance they get within)",TRUE,,,JMP,20-Mar-14,,,,FALSE
t1697,1,5,2,FALSE,KK signal picked up not seen.,5 lions are subadult but don’t know sex.  BF st/lk at group of lions. No intx,TRUE,,,SSM,08-Jul-14,,,,TRUE
t17,9,1,1,FALSE,"the end time should be 0644. PB is pachelbell, MW is muddy waters,BSH is broket shoulder in notes. Only 2 unIDs(2 c-6s).",male black-maned lion here. Hyenas are all scattered and upset. Several hyenas have bloody heads (although there are no unIDs to code for they are probably present),TRUE,,,SSM,11-Jun-14,,,,TRUE
t17.1,5,1,1,FALSE,spec is spectacles in notes. SR is missong from hyena list. Lion is adult,"says 2nd male lion, but there is only 1 present in the session (blond) SPEC and 65 appear to be courting SR. low level mobbing behavior twd female (baiting)",TRUE,,,SSM,11-Jun-14,,,,TRUE
t1701.6,2,1,1,TRUE,,hyena bloody. 20 minutes prior see hyena chasing gnus. Now 1 adult lioness fd on gnu carc. SY wlk S along crk 100 or 200 m away from carc. (cant tell handwriting). ES wlk up hill 200m from carc. No intx.,TRUE,,,SSM,08-Jul-14,lions,lions,no,TRUE
t17071,1,,2,FALSE,,"""POS (fat) emerge from bushes where young lions have passed"" All that is said. No # of lions given, or whether they just passed/it has been awhile, etc. Don't see lions mentioned anywhere earlier the same morning, so likely they just passed",TRUE,,,"JMP

JMP",20-Mar-14,,,,TRUE
t1712.1,4,,2,FALSE,alien male hyena present 1 unID. HOM is homer in notes.,@0725 HOM app group of lions playing and st/lk then wlk S. don’t know number/age/sex of lions. No intx.,TRUE,,,SSM,08-Jul-14,,,,TRUE
t17151,,,,FALSE,"SEIN is no vis here, and so should not be included in the same session as the ""couple of lions so here,"" and this sess should be removed from the database",,TRUE,,,JMP,20-Mar-14,,,,FALSE
t17246,3,1,3,FALSE,"The female lion's age should be changed to adult, as she is referred to as a ""lioness""","3 fisi here when arr, so/behaving. lioness first mentioned at 1903: ""meanwhile: lioness so 100m - SEIN and jackals barking at lioness""",TRUE,,,"JMP

JMP",20-Mar-14,,,,TRUE
t1738,3,1,2,FALSE,,"KK and SCY in bushes, lioness sits 100m from here. No intx.",TRUE,,,SSM,08-Jul-14,,,,TRUE
t1738.6,11,1,2,FALSE,missing BF from hyena list. Cant find GW or SB in notes,FAS on FA 0700-0823.  this writing is very hard to read confusing sesion. I believe only 1 lion present obs switches from saying lioness to lion but does not say second lion appear. After lion intx combies come and scare hyenas. Don’t think GW or SB here.,TRUE,,,SSM,08-Jul-14,,,,FALSE
t1738.7,7,,2,TRUE,,rib cage of baby gnu. Lions are by slp crk. Don’t know age/sex/number. No real intx.,TRUE,,,SSM,08-Jul-14,hyenas,hyenas,feed,TRUE
t17418,12,,1,TRUE,"Context should be ""k,"" not ""o,"" since the lions are feeding on a gnu","lions (no #, age, sex noted) fd on a gnu in the lugga. Hyenas st/lk / so / wlk, no initial distances given b/c lions not seen until b/w 0719-0720. 3 hyenas fat/obese. Obs lv 0727, no distances from lions ever given",TRUE,,,JMP,20-Mar-14,lions,lions,no,TRUE
t1748.3,7,7,2,TRUE,,7 lions don’t know age/sex fd on gnu. No intx.,TRUE,,,SSM,08-Jul-14,lions,lions,no,TRUE
t17492,32,3,3,TRUE,"female lions should have their age changed from ""unknown"" to ""adult,"" since they are referred to at 0703 as ""lionesses""","zeb carc: ribs, spine, skull now. 1 ad m & 2 ad f lns fd carc when arr, but several hys hv good amts of food (zebra bones,legs,""meat"",skin).No dist from lns/carc given.In CI's(#fisi!).3 hys fat.Cmbis arr 0654. fisi get carc from lions!!! Baiting strt 0715",TRUE,,,JMP,20-Mar-14,both,hyenas,feed,FALSE
t1754.1,2,,2,TRUE,,FAS on KBK 0627-0825. gnu carcass partly eaten by something else. Don’t know age/sex/number of lions. No intx. Hyenas pay no attnetion,TRUE,,,SSM,08-Jul-14,hyenas,hyenas,feed,TRUE
t17679,12,4,2,TRUE,"Should be another male lion with age unknown; there is an adult male at 0651 (who steals the carcass), and then a ""male lion"" with the 2 females at 0722 (prob all adults, but doesn't say)","adult topi kill. When arr, right after arr, ""lg male lion arr and takes carcass, hyenas scatter."" All hyenas bloody, 1 also fat",TRUE,,,JMP,20-Mar-14,hyenas,lions,feed,FALSE
t17789,12,7,3,TRUE,"Food is present (even though the obs can't see what it is), so context should be either ""k"" or ""c"" instead of ""o.""#lns should be 8 (6 sub m's, 2 sub f's):2 sub m's and 2 sub f's fd @st (4),hys lv wlk to 1 (5), 2 emerge (7), ends w/4 sub m's together(+1=8)","first location, arr & 2 young m lions 2 young female lions fd on ""something we can't see."" Hyenas arr and st/lk 50m - lions. Then obs flw fisi to 2nd location, where young ad male lion so & couple hys (so) already present",TRUE,,,JMP,21-Mar-14,lions,lions,no,FALSE
t17926,4,11,3,FALSE,,1 hyena fat. 11 lions (no age/sex specified) so w/in 100m - hyenas. Hyenas just wlk/ so/ st/lk / wan/snf,TRUE,,,JMP,21-Mar-14,,,,TRUE
t17955,2,11,3,TRUE,"The context for this session should be ""c,"" because KIP fds on caterpillars","SX chasing/testing tommies, & at one point st/lk 30m - 11 lions (no age/sex given, must be same ones as at 17955; is next morning). Later come upon KIP (fat) away from lions, who is ""fd on caterpillars,"" hence the food present & scraps",TRUE,,,JMP,21-Mar-14,hyenas,hyenas,scraps,TRUE
t18010,17,12,3,TRUE,"number of lions unclear, but there are at least 10 (5 males, 5 females at 0822, no ages given). It is likely there are 11, and might even be 12","ad topi kill. 3 hys fat. 1 lion lv @ start, others arr later. Carc differentiated from ""kill site,"" so someone must hv moved it a little ways by time obs arr. #lions throughout sess unclear, but @ very least 10 (somewhere b/w 10-12). So num lions is a min",TRUE,,,JMP,21-Mar-14,hyenas,lions,feed,FALSE
t18128,6,4,2,FALSE,,"SX fat. OLY st/lk at 30m-4 male lions (age not given). Other hyenas so/ st/lk, but distances from one another and/or lions not given",TRUE,,,JMP,21-Mar-14,,,,TRUE
t1818,24,1,3,TRUE,TP is tramp in notes.  SCAR is SF in notes. BSH is BRSH in notes.  WHO is present,FAS om ZIP 0610- 0755? (Also one on Scar?)@0640 Scar and FN find old gnu carcass and fd on skin and leg. No real intx. Notes very unclear.,TRUE,,,SSM,21-Jul-14,hyenas,hyenas,scraps,TRUE
t18204,1,2,3,FALSE,,"NAV wlk - NE. ""There are 2 lions so here."" no distance from lions given",TRUE,,,JMP,21-Mar-14,,,,TRUE
t1823,15,4,2,FALSE,"MU is mutt, HOL is holly in notes.",4 lionesses leaving kill (note). No intx.,TRUE,,,SSM,23-Jul-14,,,,TRUE
t1825,1,,2,FALSE,,@0633 lion roaring in distance. No intx. FAS on Q 0626-0739.,TRUE,,,SSM,23-Jul-14,,,,TRUE
t18344,9,1,3,TRUE,,"hyena brings down tommy. 2 hys fat before/without fding on tommy. Many fisi arr on scene. Sub m lion only comes in @ end, when all but 1 hyena oos",TRUE,,,JMP,20-Mar-14,hyenas,hyenas,feed,TRUE
t1837.2,1,2,2,TRUE,,2 adult male lions feed on fresh gnu kill. FN skulks 150m away then lopes N. no intx,TRUE,,,SSM,08-Jul-14,lions,lions,no,TRUE
t18410,16,2,2,FALSE,"KIP and MALI present; should be added to ID's present, making the N ID Hyenas 16. AMAR (no vis, 0705) also needs to be given a session","likely In. CI's  b/c seems obs are moving arnd quite a bit. Lions (no age/sex) only mentioned in one min, when arr chase hys. Don't know how long they were in area. 3 hys fat & bldy, 2 hys just bldy. Unk #fisi b/c of ""cubs"" (0712). 16 w/o cubs",TRUE,,,JMP,21-Mar-14,,,,FALSE
t18412,4,5,1,TRUE,"female lions should have their age changed to ""adult,"" as they are referred to as ""lionesses""","lions here when arr w/zebra carcass (2 big males, 3 lionesses). Hys st/lk ~40m - carc. Only true scan done is the initial scan, so don't know what hyenas or lions were doing at end",TRUE,,,JMP,21-Mar-14,lions,lions,no,TRUE
t18473,14,1,3,FALSE,"DARW present; should be included in ID's present, & N ID Hyenas should be 13. Should be 1 unID for the ""? so 50m - den"" at 0701","5 hys fat & bldy, 2 obese & bldy, 2 just fat. lion (no age/sex given) not present most of the sess - off a ways from where the majority of the hyenas have been, at a nearby but diff location, where PUC is also so (no distance b/w the two given)",TRUE,,,JMP,21-Mar-14,,,,TRUE
t1849,19,2,2,FALSE,"5 unID cubs. GOL,HOB,TP,PKY,WHO not present.","@1830 2 female adult lions 150m SE of den. No intx. GOL,HOB,TP,PKY,WHO all cubs and are not named but present in session but mothers are not notes nursing so 5 unID cubs",TRUE,,,SSM,08-Jul-14,,,,TRUE
t18492,2,5,3,FALSE,,"DARW emerge wlk - W, AMAR so 100m - 5 young male lions (so)",TRUE,,,JMP,21-Mar-14,,,,TRUE
t1850,1,6,2,FALSE,,Q st/lk 400m away from place where 6 lionesses abd 2 cheetahs are milling around. Then wlk SE. no intx.,TRUE,,,SSM,08-Jul-14,,,,TRUE
t18522,6,2,3,FALSE,,"3 hys bloody, 1 hy fat. Hys st/lk ~80m - 2 mating lions when arr. No more said about lions",TRUE,,,JMP,21-Mar-14,,,,TRUE
t18574,3,2,1,TRUE,,"""so many combies I can't see well."" carc unidentified. 2 male lions fd carc when arr, 1 hy st/lk 40m - carc, another so (no distance), another st/lk 100m - carc. 1 hy obese bloody, 1 hy just bloody",TRUE,,,JMP,21-Mar-14,lions,lions,no,TRUE
t1862,2,7,2,TRUE,QUAI is quail in notes,3 adult male lions and 4 adult female lions. Hyenas so or st/lk at lions fding on adult gnu whole session. Lions are 170m away in beginning.,TRUE,,,SSM,08-Jul-14,lions,lions,no,TRUE
t1863.1,1,1,2,TRUE,QUAI is quail in notes,gnu kill site from 1862.,TRUE,,,SSM,08-Jul-14,hyenas,lions,no,FALSE
t1864,3,1,2,TRUE,RF not RRF present,hyena bloody. FAS on RN 0647-0759. freshly killed gnu carcass that lioness eats. RF eats old gnu carcass. So both have food.,TRUE,,,SSM,08-Jul-14,lions,both,feed,FALSE
t1868.2,3,3,2,TRUE,,3 adult lions fd on adult gnu carcass. 23s eats scapula. No intx.,TRUE,,,SSM,08-Jul-14,lions,lions,scraps,TRUE
t1870.02,2,2,2,FALSE,,hyenas [brt] app 2 sleeping lionesses (adult) 20m. SD app to 8m and HK wlk away. No more info.,TRUE,,,SSM,08-Jul-14,,,,FALSE
t18707,20,1,3,FALSE,EXC circled twice in the notes (both times @ 0636),"rounded down on number of hyenas b/c unId may have been NAV (already noted). If the unId wasn't NAV, there were 21 hyenas. 1 hyena obese, 1 hyena fat",TRUE,,,JMP,26-Mar-14,,,,FALSE
t1876,7,1,2,FALSE,lion is subadult,FAS FN 0605-0720.  young adult male lion. No intx.,TRUE,,,SSM,08-Jul-14,,,,TRUE
t1878,2,14,2,TRUE,,more than 14 lions fd on and adult gnu. Hyenas only find leg with some meat and skin. No intx.,TRUE,,,SSM,08-Jul-14,lions,hyenas,scraps,TRUE
t1903.8,1,,2,FALSE,,young lions (don’t know sex or number) near rhino skull lugga on lion hill. SX loping up hill to NW 300m from lions. No intx.,TRUE,,,SSM,08-Jul-14,,,,TRUE
t1906.3,2,4,2,FALSE,,4 adult lionesses 60m E of COCH/SX. No intx.,TRUE,,,SSM,21-Jul-14,,,,TRUE
t1910,1,8,1,FALSE,,FAS on FA 0619-0628.  FA wlking twd bushes on Den 1 crk. 8 lions are in the area. Don’t know age/sex. FA goes oos in bushes. No intx.,TRUE,,,SSM,08-Jul-14,,,,TRUE
t19165,3,3,3,TRUE,"Lions should have their age changed to ""adult,"" since the term ""lionesses"" is used","No distances given. SIM (very bloody) fd subadult gnu leg, BOS (bloody) st/lk, MIG (bloody, fat) wan/snf. 3 lionesses fd on subadult gnu carcass",TRUE,,,JMP,26-Mar-14,lions,lions,feed,TRUE
t19178,4,4,3,TRUE,"BOS incorrectly written as ""BPS"" at 0753. There are 4 lions present this session, 2 lionesses (females should have age changed to adult) that emerge Culvert 13 L S @0801, 1 unk age/sex that fd zebra @0809, & 1 adult male (""big male"") that fd zebra @0809","food=adult zebra carcass. Male hyenas loping arnd, brt soc snf etc., come upon area where lionesses emerge, later find 2 lions (1 a big male) feeding zeb carc. Unclear who is in possession of main carcass at end (everyone seems to have large pieces)",TRUE,,,JMP,26-Mar-14,lions,both,feed,FALSE
